seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,Claude,8,10,115000.0,146486.462252963,31486.462252963014,55.0,41.474662352908176,-13.525337647091824,48.0,26.370061335909124,59.92546889051575,57.13392857142857,65.19542602032502,34.73484448433254,65.30272346534134,72.08309706352154,30.577911092645408,100.0,-0.0,16,1,0.375,1.0625,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
1,0,OpenAI,8,10,115000.0,147080.37021532666,32080.370215326664,55.0,39.678558059447724,-15.321441940552276,48.0,35.5975660334952,68.34363537189463,57.13392857142857,66.62664375643777,38.38368731597883,63.575553605782666,72.81597451555146,30.27790846586025,100.0,-0.0,16,5,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,0,Claude,8,11,115000.0,143944.74253994564,28944.74253994564,55.0,44.926872375090284,-10.073127624909716,48.0,21.134044878096642,50.246912808090755,57.13392857142857,63.42616838395668,31.4844782427127,70.46690686372732,71.86980107227886,30.63361570648346,100.0,-0.0,16,3,0.625,1.25,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
2,0,OpenAI,8,11,115000.0,145030.49023640223,30030.490236402227,55.0,42.456123897895004,-12.543876102104996,48.0,32.99789943998028,55.77493924957702,57.13392857142857,65.37337935947164,38.230148263407834,69.82800107905068,72.87280056057324,28.557969182450215,100.0,-0.0,16,6,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
3,0,Claude,8,9,115000.0,146435.23714125023,31435.237141250225,55.0,45.03637719567125,-9.96362280432875,48.0,38.28366253974754,59.99831620164754,57.13392857142857,63.19980906817084,37.94691912196539,64.35086366790873,71.85097787009632,31.99727823093646,100.0,-0.0,16,2,0.125,1.4375,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,0,OpenAI,8,9,115000.0,146650.9462199538,31650.946219953796,55.0,42.23339891211923,-12.766601087880773,48.0,51.80430985296863,64.04587617498233,57.13392857142857,65.48752591468173,45.59260423235978,62.75736976604986,73.00820102108406,31.476591290728344,100.0,-0.0,16,2,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
4,0,Claude,8,9,115000.0,146984.33086755848,31984.330867558485,55.0,44.7401707517552,-10.259829248244799,48.0,40.606267658653124,84.9339562856299,57.13392857142857,63.18137677543972,39.429238126530734,55.6453791709274,71.6687291590596,32.16553557428811,100.0,-0.0,16,2,0.5,-0.25,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
4,0,OpenAI,8,9,115000.0,147551.50546630163,32551.505466301634,55.0,42.40160699365391,-12.598393006346093,48.0,46.95559996649857,53.44254741600182,57.13392857142857,65.06084308241901,44.08524516761782,66.93946917189965,72.62708944181735,30.48545204671484,100.0,-0.0,16,2,0.0,0.0,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
5,0,Claude,8,12,115000.0,143973.62404323742,28973.624043237418,55.0,46.18121877020116,-8.818781229798837,48.0,19.69978050866375,64.60551619515721,57.13392857142857,62.44283966598617,31.754056720323486,61.71483790942784,71.41653155455639,32.14017398549421,100.0,-0.0,16,1,0.3125,1.25,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
5,0,OpenAI,8,12,115000.0,144277.23798237808,29277.23798237808,55.0,42.8051141188276,-12.194885881172397,48.0,31.759548730872133,58.12837954531763,57.13392857142857,65.19452187124368,36.93052641923308,65.43737368738948,72.8093451569519,30.996711195402156,100.0,-0.0,16,1,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
6,0,Claude,8,3,115000.0,148970.27304128508,33970.27304128508,55.0,44.23043669857013,-10.76956330142987,48.0,59.470798049706865,54.04567493427777,57.13392857142857,63.44261547769707,51.33152393755548,68.80387421931218,71.83227339477025,28.13652617345786,100.0,-0.0,16,0,0.5,0.625,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,0,OpenAI,8,3,115000.0,149643.24056440912,34643.24056440912,55.0,41.31749947137658,-13.682500528623422,48.0,66.17227636608311,63.454404395147776,57.13392857142857,65.78668628282423,54.277768803988415,65.37367497286445,73.02648443062903,26.3243053147511,100.0,-0.0,16,6,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
7,0,Claude,8,12,115000.0,145940.70245081314,30940.702450813144,55.0,42.54697502638454,-12.453024973615463,48.0,21.644089440756876,43.93504339610257,57.13392857142857,64.98634196564456,29.05076877209701,73.79454356343709,72.49332599723128,30.837821221906374,71.42857142857143,0.8112781244591328,16,3,0.625,1.625,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
7,0,OpenAI,8,11,115000.0,147395.15298484388,32395.15298484388,55.0,42.18913125422945,-12.810868745770549,48.0,33.505759640873414,56.8589312039803,57.13392857142857,65.16973689887405,37.779780044332604,66.96404027656178,72.61416985682484,29.010421198386055,100.0,-0.0,16,5,0.0,0.0,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
8,0,Claude,8,10,115000.0,144851.01781315485,29851.017813154845,55.0,43.678889430296955,-11.321110569703045,48.0,38.12341142353743,85.44672990486644,57.13392857142857,64.23599773840135,38.34145630676121,56.37515768963985,72.17413999176468,32.03534800627883,100.0,-0.0,16,2,0.25,1.125,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
8,0,OpenAI,8,9,115000.0,145211.07151335818,30211.071513358183,55.0,41.39019794669524,-13.609802053304762,48.0,51.31330322977016,63.53167993016683,57.13392857142857,66.08990450469962,44.300905735583875,65.67560398644508,73.11582123633968,30.423073144531337,100.0,-0.0,16,6,0.1875,0.0625,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
9,0,Claude,8,14,115000.0,147330.56076800526,32330.560768005264,55.0,41.44812624408937,-13.551873755910627,48.0,23.16610087999907,71.25528353696563,57.13392857142857,65.54950196657083,29.761844975295645,61.67860885447764,72.60882852703489,32.70278936877908,100.0,-0.0,16,3,0.375,1.5,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
9,0,OpenAI,8,13,115000.0,148095.7328090112,33095.73280901121,55.0,40.16055773462507,-14.839442265374927,48.0,35.49147340700715,74.15966675093901,57.13392857142857,66.54985701814748,36.21354084391979,59.81843800518213,73.12766734058582,31.375550316247555,100.0,-0.0,16,5,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
10,0,Claude,8,10,115000.0,143482.36664292222,28482.36664292222,55.0,43.78017665385464,-11.219823346145361,48.0,29.782246308164716,68.21502051210261,57.13392857142857,64.52456422680423,34.18852572042853,60.819483151465434,72.51416627303352,30.517443004929042,100.0,-0.0,16,3,0.75,1.5,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
10,0,OpenAI,8,10,115000.0,144968.76627179488,29968.766271794884,55.0,43.40897838148302,-11.591021618516983,48.0,41.28278522769775,62.42947010915685,57.13392857142857,64.71480334139468,40.14309931566458,64.72249959982594,72.63975608433482,30.042584569960752,100.0,-0.0,16,5,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
11,0,Claude,8,13,115000.0,141978.7500117974,26978.750011797412,55.0,42.46533837139347,-12.534661628606528,48.0,28.34299624404749,62.82816595530415,57.13392857142857,65.02818075132748,32.79508420208806,63.96208291642462,72.15793385086938,32.20228805002758,85.71428571428572,0.5435644431995964,16,3,-0.1875,2.125,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
11,0,OpenAI,8,13,115000.0,142802.89134634443,27802.891346344433,55.0,41.70705202101825,-13.29294797898175,48.0,41.98995155631299,60.91425633867024,57.13392857142857,65.58704060113288,40.267439653952906,66.20553187943025,72.4563216857188,32.73287957889629,100.0,-0.0,15,3,0.125,0.0625,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
12,0,Claude,8,5,115000.0,152763.24559666062,37763.24559666062,55.0,44.4179602332936,-10.582039766706401,48.0,43.03027427305766,63.779254363309846,57.13392857142857,63.68698585662749,44.8455315854322,68.6138060579766,72.59437179559335,28.120996148907345,85.71428571428572,0.8112781244591328,16,0,0.1875,1.375,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
12,0,OpenAI,8,5,115000.0,152982.5514043063,37982.55140430629,55.0,42.16590708287038,-12.834092917129617,48.0,55.580348722506194,51.3899853717364,57.13392857142857,65.52211547717177,50.284147522881966,73.2435623132877,73.52328179624723,27.83773369120427,100.0,-0.0,16,0,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
13,0,Claude,8,7,115000.0,148673.3227406845,33673.322740684496,55.0,45.0733848267134,-9.9266151732866,48.0,37.915715090807744,42.751999247918135,57.13392857142857,63.351080752499826,40.7867927627408,74.65631297997844,72.26367266248356,28.60726546901035,100.0,-0.0,16,3,0.4375,0.6875,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
13,0,OpenAI,8,7,115000.0,149581.70341133946,34581.70341133946,55.0,43.75284060273881,-11.247159397261193,48.0,46.896768837418946,46.368191833738535,57.13392857142857,64.368335857763,45.508586732975814,74.95420026288397,72.79361510572284,28.468770473919214,100.0,-0.0,16,4,0.0,0.0,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
14,0,Claude,8,8,115000.0,144278.53819574512,29278.538195745117,55.0,43.728432641231954,-11.271567358768046,48.0,41.92819546096284,76.84900622158311,57.13392857142857,63.87013065232098,39.315832215619196,58.30735240385225,71.67016926029925,31.940224105842816,100.0,-0.0,16,5,0.625,0.9375,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
14,0,OpenAI,8,7,115000.0,145305.1494380469,30305.14943804691,55.0,41.822003787190056,-13.177996212809944,48.0,51.57497505909835,62.14833683836981,57.13392857142857,65.35788972573174,44.7214076484113,65.01613882138636,72.44014212588537,29.78446236484963,100.0,-0.0,16,7,0.0,0.125,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
15,0,Claude,8,7,115000.0,148877.08094426224,33877.08094426224,55.0,45.78780774410316,-9.212192255896838,48.0,30.85115611321153,63.8518288083321,57.13392857142857,62.474224721623294,34.19596669738003,65.77370079699563,71.59679067726309,31.42786938857452,100.0,-0.0,16,3,0.4375,1.375,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0
15,0,OpenAI,8,6,115000.0,149696.83575717156,34696.83575717156,55.0,42.28901281204663,-12.710987187953371,48.0,46.678846464562355,59.554752002404626,57.13392857142857,65.28878569573084,44.08754487085379,67.3326330633795,73.03084806346844,28.25412001588593,100.0,-0.0,16,4,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
16,0,Claude,8,8,115000.0,148839.4037023411,33839.40370234111,55.0,43.11147518303848,-11.888524816961521,48.0,34.2325473433456,46.42162844015215,57.13392857142857,64.35655944488323,39.166391341554,73.64594513201118,72.27727775729667,28.13000913939277,100.0,-0.0,15,2,0.25,1.3125,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
16,0,OpenAI,8,8,115000.0,149415.375083225,34415.37508322499,55.0,41.321739012877224,-13.678260987122776,48.0,46.3226207974623,52.28442809660515,57.13392857142857,65.78451351780515,45.765018971676525,70.02966386344404,73.00791453212997,27.133747107930517,100.0,-0.0,16,4,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
17,0,Claude,8,8,115000.0,149704.57969084702,34704.57969084702,55.0,41.61793218448635,-13.38206781551365,48.0,25.58484191466545,45.46704828800531,57.13392857142857,65.1220002316412,35.82645792590726,72.74769977029595,72.34790700411877,28.085098672480783,100.0,-0.0,16,1,0.125,0.875,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
17,0,OpenAI,8,8,115000.0,150256.71150136794,35256.71150136794,55.0,39.83483813494469,-15.16516186505531,48.0,35.45282357825336,54.321014782479445,57.13392857142857,66.54655021774559,40.70849900133434,69.04389177420151,73.07633905253964,26.942785244330075,100.0,-0.0,16,1,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
18,0,Claude,8,3,115000.0,147849.09060009627,32849.09060009627,55.0,43.644591884348266,-11.355408115651734,48.0,46.574422576118,83.34376783376912,57.13392857142857,64.42381332593814,45.581602620661585,55.26262416874053,72.65164146219995,26.989376488640545,100.0,-0.0,16,0,0.125,0.5625,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
18,0,OpenAI,8,3,115000.0,148356.938929071,33356.93892907101,55.0,43.137309875915285,-11.862690124084715,48.0,51.046887651072026,54.62023679457391,57.13392857142857,64.80242035526005,47.65180558017584,67.5954208214184,72.85220217194747,27.235055467019535,100.0,-0.0,16,3,0.0,0.0625,19.63875,19.63875,8.76375,9.13875,10.26375,16.38875,6.63875,6.01375,3.5149999999999997
19,0,Claude,8,6,115000.0,149742.44594064713,34742.44594064713,55.0,41.752548175447984,-13.247451824552016,48.0,39.861738287409004,48.6277951434152,57.13392857142857,65.22324763151146,42.59810601787087,70.89316983136223,72.57884605390208,27.125921562943724,100.0,-0.0,16,1,0.375,1.25,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
19,0,OpenAI,8,6,115000.0,150616.06853163277,35616.06853163277,55.0,41.54219864286285,-13.45780135713715,48.0,49.79256893820903,58.10094837356077,57.13392857142857,65.33105176696134,46.80231701125273,67.8034152402702,72.64973399415979,27.65670681014116,100.0,-0.0,16,3,0.0,0.0125,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
20,0,Claude,8,9,115000.0,148628.58494226236,33628.58494226236,55.0,41.84096797640921,-13.15903202359079,48.0,37.66611970234144,42.16311751205045,57.13392857142857,65.3481705787569,39.46978425184274,74.71055129668164,72.71571949871549,29.580442601642254,100.0,-0.0,16,2,0.375,1.5,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
20,0,OpenAI,8,8,115000.0,149437.55730422193,34437.55730422193,55.0,41.09455518386292,-13.905444816137077,48.0,51.593311088481045,53.45168876604243,57.13392857142857,65.90094523017498,46.23947501653223,68.81727746704922,73.00972351615488,28.680572653045544,100.0,-0.0,16,5,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
