model,seed,tau,cosine_v1,n_inconsistent_v1,n_turnos,flag_v1
claude,1,0.3,0.6096097036212678,1,8,0
claude,1,0.4,0.6096097036212678,1,8,0
claude,1,0.5,0.6096097036212678,2,8,0
claude,1,0.6,0.6096097036212678,4,8,0
claude,1,0.7,0.6096097036212678,7,8,1
openai,1,0.3,0.7567309503607376,0,8,0
openai,1,0.4,0.7567309503607376,0,8,0
openai,1,0.5,0.7567309503607376,0,8,0
openai,1,0.6,0.7567309503607376,1,8,0
openai,1,0.7,0.7567309503607376,4,8,0
claude,2,0.3,0.3686886125053113,5,8,0
claude,2,0.4,0.3686886125053113,5,8,1
claude,2,0.5,0.3686886125053113,6,8,1
claude,2,0.6,0.3686886125053113,6,8,1
claude,2,0.7,0.3686886125053113,7,8,1
openai,2,0.3,0.8299035291086315,0,8,0
openai,2,0.4,0.8299035291086315,0,8,0
openai,2,0.5,0.8299035291086315,0,8,0
openai,2,0.6,0.8299035291086315,0,8,0
openai,2,0.7,0.8299035291086315,3,8,0
claude,3,0.3,0.3963430976822737,4,8,0
claude,3,0.4,0.3963430976822737,5,8,1
claude,3,0.5,0.3963430976822737,5,8,1
claude,3,0.6,0.3963430976822737,7,8,1
claude,3,0.7,0.3963430976822737,8,8,1
openai,3,0.3,0.8180441801117718,0,8,0
openai,3,0.4,0.8180441801117718,0,8,0
openai,3,0.5,0.8180441801117718,1,8,0
openai,3,0.6,0.8180441801117718,1,8,0
openai,3,0.7,0.8180441801117718,3,8,0
claude,4,0.3,0.5126027692373919,1,8,0
claude,4,0.4,0.5126027692373919,2,8,0
claude,4,0.5,0.5126027692373919,4,8,0
claude,4,0.6,0.5126027692373919,8,8,1
claude,4,0.7,0.5126027692373919,8,8,1
openai,4,0.3,0.8281876488309686,0,8,0
openai,4,0.4,0.8281876488309686,0,8,0
openai,4,0.5,0.8281876488309686,0,8,0
openai,4,0.6,0.8281876488309686,1,8,0
openai,4,0.7,0.8281876488309686,1,8,0
claude,5,0.3,0.5595596681462875,1,8,0
claude,5,0.4,0.5595596681462875,2,8,0
claude,5,0.5,0.5595596681462875,3,8,0
claude,5,0.6,0.5595596681462875,7,8,1
claude,5,0.7,0.5595596681462875,7,8,1
openai,5,0.3,0.8750214118998869,0,8,0
openai,5,0.4,0.8750214118998869,0,8,0
openai,5,0.5,0.8750214118998869,0,8,0
openai,5,0.6,0.8750214118998869,0,8,0
openai,5,0.7,0.8750214118998869,2,8,0
claude,6,0.3,0.5381546450603772,3,8,0
claude,6,0.4,0.5381546450603772,3,8,0
claude,6,0.5,0.5381546450603772,4,8,0
claude,6,0.6,0.5381546450603772,6,8,1
claude,6,0.7,0.5381546450603772,7,8,1
openai,6,0.3,0.8127865881356373,0,8,0
openai,6,0.4,0.8127865881356373,0,8,0
openai,6,0.5,0.8127865881356373,0,8,0
openai,6,0.6,0.8127865881356373,2,8,0
openai,6,0.7,0.8127865881356373,4,8,0
claude,7,0.3,0.42237495452471163,1,8,0
claude,7,0.4,0.42237495452471163,2,8,0
claude,7,0.5,0.42237495452471163,7,8,1
claude,7,0.6,0.42237495452471163,8,8,1
claude,7,0.7,0.42237495452471163,8,8,1
openai,7,0.3,0.9225073642777796,0,8,0
openai,7,0.4,0.9225073642777796,0,8,0
openai,7,0.5,0.9225073642777796,0,8,0
openai,7,0.6,0.9225073642777796,1,8,0
openai,7,0.7,0.9225073642777796,2,8,0
claude,8,0.3,0.5757199542884683,2,8,0
claude,8,0.4,0.5757199542884683,2,8,0
claude,8,0.5,0.5757199542884683,2,8,0
claude,8,0.6,0.5757199542884683,4,8,1
claude,8,0.7,0.5757199542884683,5,8,1
openai,8,0.3,0.8545490165056511,0,8,0
openai,8,0.4,0.8545490165056511,0,8,0
openai,8,0.5,0.8545490165056511,0,8,0
openai,8,0.6,0.8545490165056511,0,8,0
openai,8,0.7,0.8545490165056511,1,8,0
claude,9,0.3,0.5346240577791115,2,8,0
claude,9,0.4,0.5346240577791115,2,8,0
claude,9,0.5,0.5346240577791115,4,8,0
claude,9,0.6,0.5346240577791115,6,8,1
claude,9,0.7,0.5346240577791115,7,8,1
openai,9,0.3,0.9184923905143343,0,8,0
openai,9,0.4,0.9184923905143343,0,8,0
openai,9,0.5,0.9184923905143343,0,8,0
openai,9,0.6,0.9184923905143343,0,8,0
openai,9,0.7,0.9184923905143343,1,8,0
claude,10,0.3,0.509590603079097,0,8,0
claude,10,0.4,0.509590603079097,4,8,0
claude,10,0.5,0.509590603079097,4,8,0
claude,10,0.6,0.509590603079097,6,8,1
claude,10,0.7,0.509590603079097,7,8,1
openai,10,0.3,0.9066439762016767,0,8,0
openai,10,0.4,0.9066439762016767,0,8,0
openai,10,0.5,0.9066439762016767,0,8,0
openai,10,0.6,0.9066439762016767,0,8,0
openai,10,0.7,0.9066439762016767,1,8,0
claude,11,0.3,0.48183335949062234,2,8,0
claude,11,0.4,0.48183335949062234,3,8,0
claude,11,0.5,0.48183335949062234,5,8,1
claude,11,0.6,0.48183335949062234,6,8,1
claude,11,0.7,0.48183335949062234,8,8,1
openai,11,0.3,0.8077336451916826,0,8,0
openai,11,0.4,0.8077336451916826,0,8,0
openai,11,0.5,0.8077336451916826,0,8,0
openai,11,0.6,0.8077336451916826,1,8,0
openai,11,0.7,0.8077336451916826,4,8,0
claude,12,0.3,0.3846930097173332,3,8,0
claude,12,0.4,0.3846930097173332,3,8,1
claude,12,0.5,0.3846930097173332,6,8,1
claude,12,0.6,0.3846930097173332,8,8,1
claude,12,0.7,0.3846930097173332,8,8,1
openai,12,0.3,0.8672420822792817,0,8,0
openai,12,0.4,0.8672420822792817,0,8,0
openai,12,0.5,0.8672420822792817,0,8,0
openai,12,0.6,0.8672420822792817,1,8,0
openai,12,0.7,0.8672420822792817,1,8,0
claude,13,0.3,0.707502918545608,1,8,0
claude,13,0.4,0.707502918545608,2,8,0
claude,13,0.5,0.707502918545608,2,8,0
claude,13,0.6,0.707502918545608,2,8,0
claude,13,0.7,0.707502918545608,4,8,0
openai,13,0.3,0.8569978426011521,0,8,0
openai,13,0.4,0.8569978426011521,0,8,0
openai,13,0.5,0.8569978426011521,0,8,0
openai,13,0.6,0.8569978426011521,0,8,0
openai,13,0.7,0.8569978426011521,4,8,0
claude,14,0.3,0.5320570444612036,2,8,0
claude,14,0.4,0.5320570444612036,4,8,0
claude,14,0.5,0.5320570444612036,4,8,0
claude,14,0.6,0.5320570444612036,5,8,1
claude,14,0.7,0.5320570444612036,6,8,1
openai,14,0.3,0.8159195284003671,0,8,0
openai,14,0.4,0.8159195284003671,0,8,0
openai,14,0.5,0.8159195284003671,0,8,0
openai,14,0.6,0.8159195284003671,1,8,0
openai,14,0.7,0.8159195284003671,2,8,0
claude,15,0.3,0.08798137691868996,8,8,1
claude,15,0.4,0.08798137691868996,8,8,1
claude,15,0.5,0.08798137691868996,8,8,1
claude,15,0.6,0.08798137691868996,8,8,1
claude,15,0.7,0.08798137691868996,8,8,1
openai,15,0.3,0.8449584623378821,0,8,0
openai,15,0.4,0.8449584623378821,0,8,0
openai,15,0.5,0.8449584623378821,0,8,0
openai,15,0.6,0.8449584623378821,0,8,0
openai,15,0.7,0.8449584623378821,2,8,0
claude,16,0.3,0.7121764496807147,0,8,0
claude,16,0.4,0.7121764496807147,0,8,0
claude,16,0.5,0.7121764496807147,1,8,0
claude,16,0.6,0.7121764496807147,2,8,0
claude,16,0.7,0.7121764496807147,6,8,0
openai,16,0.3,0.8501705276247661,0,8,0
openai,16,0.4,0.8501705276247661,0,8,0
openai,16,0.5,0.8501705276247661,0,8,0
openai,16,0.6,0.8501705276247661,2,8,0
openai,16,0.7,0.8501705276247661,3,8,0
claude,17,0.3,0.16195385253332156,6,8,1
claude,17,0.4,0.16195385253332156,8,8,1
claude,17,0.5,0.16195385253332156,8,8,1
claude,17,0.6,0.16195385253332156,8,8,1
claude,17,0.7,0.16195385253332156,8,8,1
openai,17,0.3,0.6992337651600199,0,8,0
openai,17,0.4,0.6992337651600199,1,8,0
openai,17,0.5,0.6992337651600199,2,8,0
openai,17,0.6,0.6992337651600199,3,8,0
openai,17,0.7,0.6992337651600199,4,8,1
claude,18,0.3,0.7128409111622834,0,8,0
claude,18,0.4,0.7128409111622834,0,8,0
claude,18,0.5,0.7128409111622834,0,8,0
claude,18,0.6,0.7128409111622834,1,8,0
claude,18,0.7,0.7128409111622834,5,8,0
openai,18,0.3,0.7420845123146456,0,8,0
openai,18,0.4,0.7420845123146456,0,8,0
openai,18,0.5,0.7420845123146456,0,8,0
openai,18,0.6,0.7420845123146456,2,8,0
openai,18,0.7,0.7420845123146456,5,8,0
claude,19,0.3,0.5062595138791981,1,8,0
claude,19,0.4,0.5062595138791981,3,8,0
claude,19,0.5,0.5062595138791981,4,8,0
claude,19,0.6,0.5062595138791981,6,8,1
claude,19,0.7,0.5062595138791981,8,8,1
openai,19,0.3,0.9312838372903838,0,8,0
openai,19,0.4,0.9312838372903838,0,8,0
openai,19,0.5,0.9312838372903838,0,8,0
openai,19,0.6,0.9312838372903838,0,8,0
openai,19,0.7,0.9312838372903838,0,8,0
claude,20,0.3,0.5257638475271322,1,8,0
claude,20,0.4,0.5257638475271322,2,8,0
claude,20,0.5,0.5257638475271322,3,8,0
claude,20,0.6,0.5257638475271322,4,8,1
claude,20,0.7,0.5257638475271322,8,8,1
openai,20,0.3,0.667248843380313,0,8,0
openai,20,0.4,0.667248843380313,0,8,0
openai,20,0.5,0.667248843380313,2,8,0
openai,20,0.6,0.667248843380313,3,8,0
openai,20,0.7,0.667248843380313,6,8,1
